size,RISC-V,Source-to-Source,UVE
2048,156753.000000,164013.000000,164823.000000
4096,166422.000000,166779.000000,160578.000000
8192,162362.000000,163136.000000,156755.000000
16384,182952.000000,172952.000000,177774.000000
32768,167631.000000,168310.000000,168310.000000
